Kosakata,Makna,Mnemonik
aberrant,Abnormal; different from the accepted norm,A bear ant: Semut sebesar beruang itu jelas sangat abnormal.
abeyance,State of suspension; temporary inaction,Obey ants: Semua semut patuh (obey) untuk berhenti sejenak (inaction).
abscond,To sneak away,Absen konyol: Dia kabur diam-diam agar bisa memalsukan absen.
abstemious,"Indicative of self-denial, particularly with food/drink","Abs demi us: Demi perut abs (sixpack), kita harus menahan nafsu makan."
abstruse,Difficult to comprehend,Abs terus: Menjelaskan cara mendapat abs terus-menerus kadang sulit dipahami.
accessible,"Easy to understand, especially by a certain group",Akses: Sesuatu yang mudah diakses berarti mudah dimengerti/dijangkau.
acquiescent,Agreeing without protest,Acquiesce = Quiet: Setuju dengan diam (quiet) dan tanpa protes.
acrid,Bitter; harsh,Acid: Mirip asam (acid) yang rasanya pahit dan tajam.
acrimonious,"Bitter in temper, manner, and speech",A crime: Sebuah kejahatan (crime) memicu perdebatan yang pahit dan kasar.
acumen,Keenness; quickness of intellectual insight,IQ men: Pria dengan IQ tinggi memiliki kecerdasan dan ketajaman mental.
admonition,A gentle reproof,Add monitor: Menambah pengawasan sebagai bentuk teguran halus.
affect,(noun) Emotion that influences behavior,Efek: Emosi yang memberikan efek pada perilaku.
affront,"To deliberately offend, as with a gesture",In front: Menghina seseorang langsung di depan wajahnya.
aggrandize,To widen in scope or make bigger or greater,Grand: Membuat sesuatu menjadi lebih grand (besar/agung).
aggregate,Amounting to a whole,"Agregat: Dalam sepak bola, skor agregat adalah jumlah total."
allay,To reduce the intensity of,Alley: Bersembunyi di gang (alley) untuk meredakan ketakutan.
amalgamate,To mix or blend together in a homogenous body,Amalgam: Campuran logam gigi; artinya mencampur/menggabungkan.
ameliorate,To make better or improve,Amelia rate: Rating Amelia naik karena dia memperbaiki kinerjanya.
anachronous,Out of place in time,Ana + chrono: Chrono = waktu. Tidak sesuai dengan urutan waktu.
anecdote,A short account of an interesting incident,Anecdot: Cerita lucu/menarik (anekdot) singkat.
archipelago,A large group of islands,Archi (utama) + pelago (laut): Kumpulan pulau-pulau besar.
articulate,"Well-spoken, eloquent",Artikel: Berbicara sejelas tulisan di sebuah artikel.
artifice,Cleverness or skill,Artificial: Sesuatu yang buatan memerlukan kelicikan/keterampilan untuk menipu.
artless,Without deceit or cunning; sincere,"Art (tipu daya) + less: Tanpa tipu daya, sangat tulus/polos."
ascetic,Representative of severe self-denial,Aset: Meninggalkan semua aset duniawi untuk hidup sederhana/bertapa.
assiduous,"Persistent, unceasing","Ass in dust: Bekerja keras sampai duduk di debu, sangat gigih/tekun."
astute,Keen; wise,A student: Siswa (student) terbaik biasanya sangat cerdas/tajam.
audacious,"Fearless, bold",Audi: Mengendarai mobil Audi dengan kecepatan tinggi butuh orang yang berani/nekat.
augment,To increase in measure or intensity,Argumen: Berdebat membuat tensi meningkat.
austere,Unadorned; severely simple,Aussie tear: Pemandangan padang pasir Australia yang keras dan sangat sederhana.
avarice,Extreme greed and hoarding,A virus: Keserakahan (greed) menyebar seperti virus.
aver,To declare or profess,Verify: Menyatakan kebenaran (verify) dengan tegas.
banal,Trite; commonplace,Ban all: Melarang semua hal yang membosankan dan pasaran.
base,Simple and boring,Basic: Sesuatu yang sangat dasar (rendahan/sederhana).
belie,To present a false front,Be + lie: Menjadi pembohong (menutupi yang sebenarnya).
beset,"To surround, as in an attack",Be set: Pasukan sudah diatur (set) untuk mengepung.
blatant,"Very obvious, offensively loud",Blow tent: Angin meniup tenda dengan sangat jelas dan mencolok.
bolster,To support; to reinforce,Bantal guling: Bolster dalam bahasa Inggris adalah bantal guling yang menopang kita.
bombastic,Using inflated language; pompous,Bomb: Kata-katanya meledak-ledak seperti bom (muluk-muluk).
boon,A timely benefit; a blessing,Bonus: Mendapat berkah/keuntungan seperti bonus.
brevity,Briefness or conciseness,Brief: Sesuatu yang sangat singkat.
browbeat,To intimidate in an overbearing manner,Brow (alis) + beat: Mengerutkan alis untuk mengintimidasi/menggertak.
bumptious,Offensively self-assertive; pushy,Bump: Suka menabrak (bump) orang lain karena terlalu sombong/memaksa.
bungle,To perform clumsily or inadequately; botch,Bunglon: Bunglon yang salah warna berarti melakukan kesalahan bodoh/ceroboh.
burgeon,To grow forth; to send out buds,Burger: Makan burger terus membuat perut berkembang/membesar.
