Kosakata,Makna,Mnemonik,Contoh_kalimat
aberrant,Abnormal; different from the accepted norm,A bear ant: Semut sebesar beruang itu jelas sangat abnormal.,The animal's aberrant behavior indicated it was sick.
abeyance,State of suspension; temporary inaction,Obey ants: Semua semut patuh (obey) untuk berhenti sejenak (inaction).,The project is being held in abeyance until funding is secured.
abscond,To sneak away,Absen konyol: Dia kabur diam-diam agar bisa memalsukan absen.,The cashier absconded with the money in the middle of the night.
abstemious,"Indicative of self-denial, particularly with food/drink","Abs demi us: Demi perut abs (sixpack), kita harus menahan nafsu makan.","She led an abstemious lifestyle, avoiding alcohol and rich foods."
abstruse,Difficult to comprehend,Abs terus: Menjelaskan cara mendapat abs terus-menerus kadang sulit dipahami.,The professor's lecture on quantum physics was too abstruse for the freshmen.
accessible,"Easy to understand, especially by a certain group",Akses: Sesuatu yang mudah diakses berarti mudah dimengerti/dijangkau.,The museum made its exhibits accessible to visually impaired visitors.
acquiescent,Agreeing without protest,Acquiesce = Quiet: Setuju dengan diam (quiet) dan tanpa protes.,The acquiescent employee never questioned the manager's unreasonable demands.
acrid,Bitter; harsh,Acid: Mirip asam (acid) yang rasanya pahit dan tajam.,The acrid smoke from the burning tires filled the air.
acrimonious,"Bitter in temper, manner, and speech",A crime: Sebuah kejahatan (crime) memicu perdebatan yang pahit dan kasar.,"The divorce was acrimonious, with both sides fighting over every asset."
acumen,Keenness; quickness of intellectual insight,IQ men: Pria dengan IQ tinggi memiliki kecerdasan dan ketajaman mental.,Her business acumen led the startup to massive success.
admonition,A gentle reproof,Add monitor: Menambah pengawasan sebagai bentuk teguran halus.,The teacher gave him a gentle admonition for speaking out of turn.
affect,(noun) Emotion that influences behavior,Efek: Emosi yang memberikan efek pada perilaku.,"The patient showed a flat affect, displaying no emotion at all."
affront,"To deliberately offend, as with a gesture",In front: Menghina seseorang langsung di depan wajahnya.,He took her refusal to shake his hand as a personal affront.
aggrandize,To widen in scope or make bigger or greater,Grand: Membuat sesuatu menjadi lebih grand (besar/agung).,The king built a massive palace to aggrandize his legacy.
aggregate,Amounting to a whole,"Agregat: Dalam sepak bola, skor agregat adalah jumlah total.",The aggregate score of the two games determined the champion.
allay,To reduce the intensity of,Alley: Bersembunyi di gang (alley) untuk meredakan ketakutan.,The mother tried to allay her child's fears of the dark.
amalgamate,To mix or blend together in a homogenous body,Amalgam: Campuran logam gigi; artinya mencampur/menggabungkan.,The two companies decided to amalgamate into one giant corporation.
ameliorate,To make better or improve,Amelia rate: Rating Amelia naik karena dia memperbaiki kinerjanya.,The government implemented policies to ameliorate poverty.
anachronous,Out of place in time,Ana + chrono: Chrono = waktu. Tidak sesuai dengan urutan waktu.,The modern wristwatch in the medieval movie was highly anachronous.
anecdote,A short account of an interesting incident,Anecdot: Cerita lucu/menarik (anekdot) singkat.,He told a funny anecdote about his first day at work.
archipelago,A large group of islands,Archi (utama) + pelago (laut): Kumpulan pulau-pulau besar.,Indonesia is the largest archipelago in the world.
articulate,"Well-spoken, eloquent",Artikel: Berbicara sejelas tulisan di sebuah artikel.,She is an articulate speaker who easily persuades her audience.
artifice,Cleverness or skill,Artificial: Sesuatu yang buatan memerlukan kelicikan/keterampilan untuk menipu.,The magician used clever artifice to deceive the audience.
artless,Without deceit or cunning; sincere,"Art (tipu daya) + less: Tanpa tipu daya, sangat tulus/polos.",Her artless charm made everyone instantly like her.
ascetic,Representative of severe self-denial,Aset: Meninggalkan semua aset duniawi untuk hidup sederhana/bertapa.,"The monk lived an ascetic life in the mountains, owning nothing."
assiduous,"Persistent, unceasing","Ass in dust: Bekerja keras sampai duduk di debu, sangat gigih/tekun.",The assiduous student studied every night to pass the medical exam.
astute,Keen; wise,A student: Siswa (student) terbaik biasanya sangat cerdas/tajam.,The astute detective quickly solved the complex mystery.
audacious,"Fearless, bold",Audi: Mengendarai mobil Audi dengan kecepatan tinggi butuh orang yang berani/nekat.,The climber made an audacious attempt to scale the peak without ropes.
augment,To increase in measure or intensity,Argumen: Berdebat membuat tensi meningkat.,He took a second job to augment his income.
austere,Unadorned; severely simple,Aussie tear: Pemandangan padang pasir Australia yang keras dan sangat sederhana.,The austere room contained only a bed and a simple wooden chair.
avarice,Extreme greed and hoarding,A virus: Keserakahan (greed) menyebar seperti virus.,The CEO's avarice led him to embezzle millions of dollars.
aver,To declare or profess,Verify: Menyatakan kebenaran (verify) dengan tegas.,The witness averred that she had seen the defendant at the scene.
banal,Trite; commonplace,Ban all: Melarang semua hal yang membosankan dan pasaran.,The pop song was criticized for its banal and repetitive lyrics.
base,Simple and boring,Basic: Sesuatu yang sangat dasar (rendahan/sederhana).,His base motives were driven entirely by greed.
belie,To present a false front,Be + lie: Menjadi pembohong (menutupi yang sebenarnya).,His calm smile belied the intense anger he felt inside.
